objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
bagel,99.6,98.48,66.69,64.16,47.23,96.07,0,99.08,95.45,0.138
cable_gland,98.97,96.97,30.62,39.67,24.74,82.27,0,94.81,91.49,0.137
carrot,99.43,97.99,32.89,40.26,25.2,88.66,0,96.74,93.33,0.117
cookie,99.17,95.88,70.5,66.23,49.51,76.53,0,93.34,88.03,0.102
dowel,98.97,95.64,32.45,36.92,22.64,79.59,0,93.89,89.87,0.117
foam,88.97,69.4,28.67,38.29,23.68,79.88,0,94.95,90.4,0.156
peach,99.55,98.31,55.12,54.94,37.87,92.85,0,98.27,92.89,0.137
potato,99.44,97.31,34.7,42.08,26.64,71.15,0,90.1,91.54,0.114
rope,99.41,97.47,48.97,50.46,33.74,92.57,0,97.0,89.39,0.115
tire,99.33,96.76,36.95,41.62,26.27,83.08,0,94.84,88.52,0.109
mean,98.29,94.42,43.75,47.46,31.75,84.26,0.0,95.3,91.09,0.124
