objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
metal1,97.6,78.76,62.28,61.33,44.22,96.11,0,98.62,94.62,0.109
wood,97.58,69.58,77.85,71.72,55.91,90.55,0,98.45,94.81,0.161
metal2,99.52,98.0,65.44,62.04,44.97,98.84,0,94.14,89.41,0.137
mean,98.23,82.12,68.52,65.03,48.37,95.17,0.0,97.07,92.95,0.136
