objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
brain,97.15,77.1,57.87,55.26,38.18,88.57,0,94.48,88.98,0.116
mean,97.15,77.1,57.87,55.26,38.18,88.57,0.0,94.48,88.98,0.116
