objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
bracket_black,96.49,93.25,12.41,24.93,14.23,73.34,0,83.71,77.36,0.14
bracket_brown,96.78,94.09,9.01,17.04,9.31,70.21,0,77.99,85.0,0.099
bracket_white,99.75,97.46,12.04,19.18,10.58,76.22,0,75.51,73.24,0.157
connector,98.78,95.85,57.13,53.77,36.77,97.62,0,96.28,92.31,0.109
metal_plate,99.41,97.43,95.98,88.9,80.02,100.0,0,100.0,100.0,0.122
tubes,99.56,98.24,76.09,70.69,54.66,98.69,0,99.49,97.06,0.125
mean,98.46,96.05,43.78,45.75,34.26,86.01,0.0,88.83,87.49,0.125
