objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
candle,98.99,95.06,22.88,35.29,21.42,91.68,0,91.54,87.2,0.132
capsules,97.84,74.97,38.93,45.72,29.63,88.4,0,94.37,85.28,0.137
cashew,99.22,92.69,67.92,65.57,48.78,92.54,0,96.81,90.55,0.097
chewinggum,99.32,88.09,77.23,70.72,54.71,97.7,0,99.02,95.88,0.191
fryum,96.36,85.62,37.88,45.94,29.82,92.84,0,96.86,89.66,0.082
macaroni1,98.57,92.05,10.6,18.77,10.35,85.15,0,85.24,79.65,0.118
macaroni2,95.57,82.81,3.76,13.24,7.08,72.58,0,75.02,69.8,0.136
pcb1,99.54,91.64,77.78,70.31,54.21,83.31,0,81.39,80.2,0.121
pcb2,96.3,73.05,22.04,31.46,18.67,81.03,0,81.55,76.65,0.127
pcb3,97.96,83.6,29.45,34.7,20.99,80.75,0,82.21,75.8,0.119
pcb4,98.29,90.03,40.13,44.89,28.94,95.63,0,94.92,90.72,0.115
pipe_fryum,99.19,95.73,53.52,58.95,41.8,99.0,0,99.44,98.49,0.113
mean,98.1,87.11,40.18,44.63,30.53,88.38,0.0,89.86,84.99,0.124
