objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
bottle,98.61,95.22,83.08,76.91,62.48,99.92,0,99.98,99.21,0.15
cable,97.71,91.06,66.77,64.49,47.59,97.04,0,98.06,95.7,0.149
capsule,96.89,91.16,39.87,43.47,27.77,96.17,0,99.16,96.04,0.117
carpet,99.45,97.74,82.01,73.87,58.57,99.8,0,99.94,99.43,0.185
grid,95.11,85.47,32.97,40.88,25.69,98.33,0,99.44,96.43,0.174
hazelnut,98.79,95.57,60.78,62.36,45.31,99.68,0,99.82,97.9,0.176
leather,99.53,98.51,52.97,54.02,37.01,100.0,0,100.0,100.0,0.224
metal_nut,95.21,93.27,74.22,74.71,59.63,99.8,0,99.95,98.92,0.134
pill,97.34,93.93,73.25,68.9,52.56,92.2,0,98.53,93.48,0.135
screw,97.18,87.37,16.56,26.29,15.14,80.98,0,92.49,88.64,0.127
tile,98.76,96.22,84.44,78.61,64.76,100.0,0,100.0,100.0,0.164
toothbrush,98.66,83.01,52.41,61.14,44.03,96.94,0,98.88,94.74,0.153
transistor,92.19,81.51,53.09,53.17,36.21,90.54,0,86.27,79.52,0.127
wood,96.69,92.76,69.16,65.57,48.78,97.72,0,99.16,97.56,0.194
zipper,95.51,87.23,56.32,57.03,39.89,93.96,0,98.46,92.92,0.141
mean,97.18,91.34,59.86,60.1,44.36,96.21,0.0,98.01,95.37,0.157
