objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
retina,96.81,86.35,71.61,64.53,47.64,84.34,0,82.63,74.13,0.118
mean,96.81,86.35,71.61,64.53,47.64,84.34,0.0,82.63,74.13,0.118
