objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
metal1,94.84,66.99,53.13,54.2,37.17,95.34,0,97.99,93.88,0.176
wood,96.93,62.7,77.06,71.03,55.07,81.4,0,97.02,93.02,0.241
metal2,98.22,93.47,49.33,51.38,34.57,96.37,0,84.82,77.92,0.21
mean,96.66,74.38,59.84,58.87,42.27,91.04,0.0,93.28,88.27,0.209
