objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
bracket_black,95.64,91.81,11.0,20.92,11.68,69.81,0,82.57,74.77,0.181
bracket_brown,96.67,93.75,8.46,15.59,8.45,74.51,0,82.51,83.05,0.13
bracket_white,99.56,94.97,7.59,16.25,8.83,71.11,0,69.23,73.53,0.19
connector,98.66,95.28,54.04,52.78,35.85,98.1,0,97.11,92.86,0.144
metal_plate,99.2,97.05,94.48,87.66,78.03,100.0,0,100.0,100.0,0.157
tubes,99.3,97.16,72.21,69.24,52.95,97.96,0,99.24,96.45,0.162
mean,98.17,95.0,41.3,43.74,32.63,85.25,0.0,88.44,86.78,0.161
