objects,auroc_px,aupro_px,ap_px,f1_px,iou,auroc_sp,aupro_sp,ap_sp,f1_sp,threshold
brain,97.07,76.49,56.64,55.19,38.11,89.03,0,94.57,89.27,0.156
mean,97.07,76.49,56.64,55.19,38.11,89.03,0.0,94.57,89.27,0.156
